NDE Bearing Temperature Value in c_mean;NDE Bearing Temperature Value in c_sd;NDE Bearing Temperature Value in c_range;NDE Bearing Temperature Value in c_skew;NDE Bearing Temperature Value in c_kurt;NDE Bearing Temperature Value in c_max;NDE Bearing Temperature Value in c_min;NDE Bearing Temperature Value in c_q95;NDE Bearing Temperature Value in c_q90;NDE Bearing Temperature Value in c_q80;DE Bearing TemperatureValue in c_mean;DE Bearing TemperatureValue in c_sd;DE Bearing TemperatureValue in c_range;DE Bearing TemperatureValue in c_skew;DE Bearing TemperatureValue in c_kurt;DE Bearing TemperatureValue in c_max;DE Bearing TemperatureValue in c_min;DE Bearing TemperatureValue in c_q95;DE Bearing TemperatureValue in c_q90;DE Bearing TemperatureValue in c_q80;NDE X-Vibration Value_mean;NDE X-Vibration Value_sd;NDE X-Vibration Value_range;NDE X-Vibration Value_skew;NDE X-Vibration Value_kurt;NDE X-Vibration Value_max;NDE X-Vibration Value_min;NDE X-Vibration Value_q95;NDE X-Vibration Value_q90;NDE X-Vibration Value_q80;NDE Y-Vibration Value_mean;NDE Y-Vibration Value_sd;NDE Y-Vibration Value_range;NDE Y-Vibration Value_skew;NDE Y-Vibration Value_kurt;NDE Y-Vibration Value_max;NDE Y-Vibration Value_min;NDE Y-Vibration Value_q95;NDE Y-Vibration Value_q90;NDE Y-Vibration Value_q80;DE X-Vibration Value_mean;DE X-Vibration Value_sd;DE X-Vibration Value_range;DE X-Vibration Value_skew;DE X-Vibration Value_kurt;DE X-Vibration Value_max;DE X-Vibration Value_min;DE X-Vibration Value_q95;DE X-Vibration Value_q90;DE X-Vibration Value_q80;DE Y-Vibration Value_mean;DE Y-Vibration Value_sd;DE Y-Vibration Value_range;DE Y-Vibration Value_skew;DE Y-Vibration Value_kurt;DE Y-Vibration Value_max;DE Y-Vibration Value_min;DE Y-Vibration Value_q95;DE Y-Vibration Value_q90;DE Y-Vibration Value_q80;Fault_lag
45.33434041;3.971326038;10.40039063;-0.623593175;-1.417055004;49.2980957;38.89770508;49.09667969;48.90808105;48.79760742;48.30183919;2.033675419;5.700683594;-0.612025253;-1.338985549;50.39672852;44.69604492;50.29602051;50.29602051;50.19836426;1.250115493;0.490213063;2.900695801;0.548478476;0.656698063;3.349304199;0.448608398;2.039260864;1.853942871;1.614379883;1.158817071;0.496714524;3.73840332;1.918058158;7.471438207;4.126739502;0.388336182;1.892700195;1.6746521;1.375579834;1.106697901;0.407448606;3.289794922;1.319657309;4.234042685;3.319549561;0.029754639;1.824188232;1.584625244;1.345825195;1.719276428;0.704593914;5.861663818;1.725055734;6.661148053;5.891418457;0.029754639;2.694625854;2.425308228;2.093505859;FALSE
45.74130249;3.653062569;10.40039063;-0.870618751;-0.863347259;49.2980957;38.89770508;49.09667969;48.90808105;48.79760742;48.52179972;1.907336991;5.700683594;-0.933973765;-0.684236426;50.39672852;44.69604492;50.29602051;50.29602051;50.19836426;1.24470052;0.49502572;3.319549561;0.507751293;0.646598018;3.349304199;0.029754639;2.033233643;1.853942871;1.614379883;1.153185837;0.501817768;4.096984863;1.827716072;7.210896809;4.126739502;0.029754639;1.88369751;1.6746521;1.375579834;1.096430649;0.418311041;3.289794922;1.127797181;3.939280283;3.319549561;0.029754639;1.824188232;1.584625244;1.321411133;1.666527626;0.752626131;5.861663818;1.233910864;5.27794025;5.891418457;0.029754639;2.691650391;2.386474609;2.093505859;FALSE
45.82763672;3.519110096;10.40039063;-0.864719058;-0.826637201;49.2980957;38.89770508;49.09667969;48.90808105;48.79760742;48.62052917;1.768205053;5.700683594;-0.982922816;-0.389059234;50.39672852;44.69604492;50.29602051;50.29602051;50.19836426;1.24470052;0.49502572;3.319549561;0.507751293;0.646598018;3.349304199;0.029754639;2.033233643;1.853942871;1.614379883;1.137062841;0.51526223;4.096984863;1.616077255;6.547683116;4.126739502;0.029754639;1.88369751;1.6746521;1.375579834;1.091408319;0.423359375;3.289794922;1.048993964;3.797715723;3.319549561;0.029754639;1.824188232;1.584625244;1.315307617;1.621366613;0.78785378;5.861663818;0.980558335;4.386485847;5.891418457;0.029754639;2.691650391;2.350158691;2.069091797;FALSE
45.82848104;3.519506512;10.50109863;-0.868645701;-0.811467075;49.2980957;38.79699707;49.09667969;48.90808105;48.79760742;48.65812683;1.69229814;5.39855957;-0.906027236;-0.586981408;50.39672852;44.99816895;50.29602051;50.29602051;50.19836426;1.231666848;0.474204265;2.601623535;0.270833372;-0.253549886;2.631378174;0.029754639;2.033233643;1.824188232;1.584625244;1.129631172;0.499611262;4.096984863;1.516837708;6.250379042;4.126739502;0.029754639;1.86882019;1.644897461;1.375579834;1.076777276;0.402166436;2.721405029;0.529382247;1.770600028;2.751159668;0.029754639;1.806335449;1.584625244;1.315307617;1.614122013;0.777359046;5.652618408;0.94506584;4.213403113;5.682373047;0.029754639;2.679443359;2.332305908;2.062988281;FALSE
45.86082967;3.522172362;10.50109863;-0.888862908;-0.790399253;49.2980957;38.79699707;49.09667969;48.90808105;48.79760742;48.74912516;1.673533716;5.499267578;-1.010465537;-0.389232421;50.49743652;44.99816895;50.29602051;50.29602051;50.19836426;1.230779577;0.487233602;2.631378174;0.34051841;-0.216412526;2.661132813;0.029754639;2.081451416;1.871795654;1.590576172;1.125118506;0.502746602;4.096984863;1.635773469;6.574487563;4.126739502;0.029754639;1.86882019;1.614379883;1.375579834;1.078875821;0.408844589;2.721405029;0.540617502;1.562355479;2.751159668;0.029754639;1.824188232;1.584625244;1.345825195;1.594742639;0.77526117;5.652618408;1.078036726;4.651575985;5.682373047;0.029754639;2.649230957;2.30255127;2.003479004;FALSE
45.97949219;3.605624837;10.99853516;-0.874129947;-0.822929353;49.79553223;38.79699707;49.1973877;48.99597168;48.79760742;48.92313639;1.853445269;7.299804688;-0.69214329;-0.498527486;52.29797363;44.99816895;51.5032959;50.49743652;50.29602051;1.20774069;0.500498728;2.631378174;0.423809737;-0.277341572;2.661132813;0.029754639;2.123260498;1.871795654;1.584625244;1.098630956;0.502417375;4.096984863;1.718245034;6.882168931;4.126739502;0.029754639;1.779174805;1.584625244;1.345825195;1.064823326;0.419605923;2.721405029;0.59701645;1.322992891;2.751159668;0.029754639;1.853942871;1.584625244;1.333618164;1.552564003;0.770638467;5.652618408;1.192235527;5.011131744;5.682373047;0.029754639;2.601623535;2.30255127;1.973724365;FALSE
46.14366659;3.758228061;12.5;-0.786070703;-0.87655055;51.29699707;38.79699707;50.29602051;49.79553223;48.99597168;49.19295247;2.195760228;8.499145508;-0.177710938;-0.565967553;53.49731445;44.99816895;52.89611816;52.29797363;50.49743652;1.211854911;0.501256021;2.631378174;0.407658498;-0.307037766;2.661132813;0.029754639;2.123260498;1.901550293;1.584625244;1.100971751;0.506755769;4.096984863;1.706367971;6.729420021;4.126739502;0.029754639;1.824188232;1.554870605;1.375579834;1.068593688;0.424729835;2.721405029;0.576907929;1.188429425;2.751159668;0.029754639;1.865844727;1.614379883;1.363677979;1.552217212;0.775887855;5.652618408;1.207773657;4.974325489;5.682373047;0.029754639;2.619476318;2.30255127;1.973724365;FALSE
46.4322408;4.047585;13.10119629;-0.618920144;-0.949743886;51.89819336;38.79699707;51.69677734;51.29699707;49.79553223;49.55909729;2.608892618;9.399414063;0.059813352;-0.845002792;54.39758301;44.99816895;53.99780273;53.40667725;52.29797363;1.176705066;0.498076944;2.631378174;0.510902678;-0.217661498;2.661132813;0.029754639;2.123260498;1.794433594;1.531066895;1.066557798;0.498825665;4.096984863;1.81910315;7.482117079;4.126739502;0.029754639;1.734161377;1.495361328;1.345825195;1.042088469;0.422786758;2.721405029;0.675359067;1.317893226;2.751159668;0.029754639;1.853942871;1.584625244;1.315307617;1.499789578;0.759716862;5.652618408;1.324267072;5.622600768;5.682373047;0.029754639;2.559967041;2.212524414;1.943969727;FALSE
46.80800883;4.403201398;13.99841309;-0.489853345;-1.057951332;52.79541016;38.79699707;52.49633789;51.90795898;51.29699707;50.0224762;3.028935417;9.899902344;0.05481751;-1.177940287;54.89807129;44.99816895;54.69665527;54.39758301;53.41674805;1.131957254;0.51035709;2.661895752;0.714585635;-0.044322512;2.691650391;0.029754639;2.153015137;1.794433594;1.46484375;1.025951228;0.500331869;4.096984863;1.990000114;7.951952663;4.126739502;0.029754639;1.779174805;1.495361328;1.285552979;1.006967392;0.426522761;2.721405029;0.866998307;1.485946291;2.751159668;0.029754639;1.865844727;1.584625244;1.25579834;1.437319242;0.753319131;5.652618408;1.542668157;6.346850909;5.682373047;0.029754639;2.529907227;2.158966064;1.88369751;FALSE
47.24293009;4.737741203;14.30053711;-0.471572211;-1.17033338;53.09753418;38.79699707;52.79541016;52.79541016;51.91772461;50.57480367;3.378309275;10.29968262;-0.11656272;-1.399355308;55.29785156;44.99816895;55.09643555;54.89807129;54.39758301;1.096152364;0.513041865;2.661895752;0.847592342;0.107679959;2.691650391;0.029754639;2.153015137;1.764297485;1.435089111;0.996695624;0.503229944;4.096984863;2.133340397;8.175951166;4.126739502;0.029754639;1.794433594;1.435089111;1.285552979;0.980356102;0.424937069;2.721405029;1.01038603;1.679975515;2.751159668;0.029754639;1.864356995;1.584625244;1.226043701;1.399273343;0.748822953;5.652618408;1.730601976;6.889821461;5.682373047;0.029754639;2.501602173;2.093505859;1.824188232;FALSE
